number,value,datetime_start,datetime_complete,duration,params_D1_freq,params_D1_weight,params_D2_freq,params_D2_weight,params_FSNtoD1_w,params_FSNtoD2_w,params_delay_delta,params_weight_delta,state
92,3.5510687241263392,2024-01-26 03:46:56.379308,2024-01-26 03:47:57.632121,0 days 00:01:01.252813,1237.7439474367775,0.504299737394668,1078.3001363808332,0.5108585363558008,7.231544664113518,5.508068823082479,0.3048580319702896,0.3893389197263114,COMPLETE
93,2.9592136014549943,2024-01-26 03:46:56.397950,2024-01-26 03:47:57.637865,0 days 00:01:01.239915,1234.2188748931283,0.5295485919686729,1057.146519664814,0.511604141290564,5.698821099386015,5.611233018053698,0.31810723256481255,0.3388426668086302,COMPLETE
94,4.285327180742496,2024-01-26 03:47:57.639966,2024-01-26 03:48:58.376207,0 days 00:01:00.736241,1200.2044226694734,0.5260773612731778,1046.1004021203335,0.4134392790205109,5.632954364994153,5.782556636430569,0.2743562318911521,0.49980860082822964,COMPLETE
95,6.27449456377466,2024-01-26 03:47:57.641455,2024-01-26 03:48:28.039958,0 days 00:00:30.398503,1247.4348077310067,0.5271167187818103,801.6959703095433,0.4163382979008305,5.6378429944896284,4.269176180911941,0.20713641738500138,0.5235386520689644,COMPLETE
96,2.9048066406232103,2024-01-26 03:47:57.651699,2024-01-26 03:48:43.714093,0 days 00:00:46.062394,1283.1573104278204,0.5268949216079326,1046.4287054592946,0.5391884864501468,5.634251284982976,5.77944112847765,0.1986463776902336,0.513930855000266,COMPLETE
97,2.920419091356831,2024-01-26 03:48:28.225774,2024-01-26 03:49:24.277424,0 days 00:00:56.051650,1197.625768385931,0.5143504647401526,1048.091970471616,0.4968925762226174,5.829718776859239,5.796949927450835,0.2704595645400304,0.5053028764634585,COMPLETE
98,3.5151485058890817,2024-01-26 03:48:58.377279,2024-01-26 03:49:58.188370,0 days 00:00:59.811091,1243.387855518793,0.5144498613404318,1035.3400801973423,0.44410591257564724,5.710636366963115,5.6825934669434055,0.27229862764519513,0.47966483022889916,COMPLETE
99,2.853756062763139,2024-01-26 03:48:58.383827,2024-01-26 03:49:43.362901,0 days 00:00:44.979074,1243.8644516902107,0.513330442208539,1064.372864912443,0.4736545923607916,5.69411223819097,5.611349681739058,0.26931234947019295,0.5464716903169007,COMPLETE
100,3.985222163735686,2024-01-26 03:49:25.287653,2024-01-26 03:50:18.595550,0 days 00:00:53.307897,1243.4879692937186,0.5187553205400438,1034.4487698568103,0.47400864305889884,5.718051451049383,5.6109755963201895,0.1822631409513583,0.40379829330921896,COMPLETE
101,2.371864686407394,2024-01-26 03:49:43.431672,2024-01-26 03:50:42.403865,0 days 00:00:58.972193,1263.23630504865,0.5197359061503269,1036.8829287225856,0.4464104150238514,5.738242823296697,5.691790142439776,0.32147343676576373,0.43733818380985323,COMPLETE
102,2.9073770638616705,2024-01-26 03:49:58.193263,2024-01-26 03:50:56.638095,0 days 00:00:58.444832,1262.7788253413555,0.5186665908354939,1055.0954420752266,0.5077993221219712,5.746221471594778,5.723689804733631,0.1879841246417418,0.43861928830158975,COMPLETE
103,4.60886190807495,2024-01-26 03:50:20.965568,2024-01-26 03:51:16.504860,0 days 00:00:55.539292,1262.399839344913,0.5225487961877484,1008.5746620102755,0.4885876569307026,5.860242247225458,5.730443523184374,0.2937053708921661,0.5798443072673349,COMPLETE
104,3.956381330284545,2024-01-26 03:50:56.639280,2024-01-26 03:51:56.617602,0 days 00:00:59.978322,1282.6191826900742,0.5094453745731321,1026.452539867542,0.4521824849554297,5.836827580964275,5.672309029881362,0.3163483213631396,0.4665239689088916,COMPLETE
105,2.7983632014633804,2024-01-26 03:50:56.645503,2024-01-26 03:51:38.112137,0 days 00:00:41.466634,1261.6030692562629,0.5089862116317525,1040.6734959915968,0.4397711860289792,5.838514350618074,5.67854295925456,0.28867008788334597,0.3512463289900169,COMPLETE
106,4.650521201383119,2024-01-26 03:51:16.524894,2024-01-26 03:52:15.514245,0 days 00:00:58.989351,1283.295613663619,0.5436490615415559,1023.4785263337602,0.43741829591897835,5.976582889091473,5.674524564486165,0.3188499298278892,0.46805706982137946,COMPLETE
107,2.7844295832009927,2024-01-26 03:51:38.466926,2024-01-26 03:52:35.464900,0 days 00:00:56.997974,1283.7106463710434,0.5317341964845058,1027.2015768424938,0.4619972388507153,5.675026674258989,5.557099537106703,0.33810204659666393,0.43324737877278074,COMPLETE
108,4.804367961365772,2024-01-26 03:51:56.623567,2024-01-26 03:52:57.446406,0 days 00:01:00.822839,1295.0140046573292,0.5410708804784311,1021.3988314038784,0.42636891792251197,5.67426891777785,5.527090912284883,0.3367693298638888,0.4327858303162003,COMPLETE
109,2.637835598447627,2024-01-26 03:52:15.522490,2024-01-26 03:53:16.316446,0 days 00:01:00.793956,1294.5057480855726,0.5312007684413839,1085.7674405051416,0.4633824044364675,5.682747334330881,5.578965963256139,0.33888016925253184,0.4286123823824294,COMPLETE
110,3.044782789454483,2024-01-26 03:52:35.472393,2024-01-26 03:53:36.190531,0 days 00:01:00.718138,1252.6492264247845,0.5407983412915349,1062.923641225168,0.503835643682514,5.761906693263174,5.483721451373995,0.4065483585071896,0.3887233546621262,COMPLETE
111,3.0240549242069203,2024-01-26 03:52:58.459183,2024-01-26 03:53:55.603113,0 days 00:00:57.143930,1219.943863984076,0.5240992567403229,1060.388135904403,0.43254416204568075,5.76920895879691,5.72908282134407,0.4040324307953141,0.3904074803037963,COMPLETE
112,2.8594602670938114,2024-01-26 03:53:16.326260,2024-01-26 03:54:16.420084,0 days 00:01:00.093824,1271.8062410935306,0.5382991678281236,1087.7875630697033,0.4847734993217037,5.763073667494377,5.499865700073372,0.3839763259300159,0.38806424946359197,COMPLETE
113,2.644383387795746,2024-01-26 03:53:36.192119,2024-01-26 03:54:36.368334,0 days 00:01:00.176215,1271.8260334391591,0.530616046142732,1091.1912212006955,0.44609865487109873,5.741294004219608,5.632488812920901,0.36251587369137855,0.3048342731124236,COMPLETE
114,2.664365660949409,2024-01-26 03:53:55.616901,2024-01-26 03:55:02.917081,0 days 00:01:07.300180,1293.5804531959616,0.5308736193855578,1054.1717908793498,0.4899895915814755,5.601836570266905,5.587820873877093,0.3778672057480695,0.3190488080060597,COMPLETE
115,2.5527207967841594,2024-01-26 03:54:16.430944,2024-01-26 03:55:19.958295,0 days 00:01:03.527351,1293.0901640383224,0.5302167744314837,1094.1387510669636,0.44741750828821025,5.600266784006524,5.5905555209195175,0.37391916887374327,0.6098048310559642,COMPLETE
116,3.1156483627463065,2024-01-26 03:54:36.377429,2024-01-26 03:55:36.628200,0 days 00:01:00.250771,1274.3900751472918,0.5307134919531591,1090.9071062997843,0.447177573161575,5.61598161756321,5.05180550136859,0.36207688484769984,0.31263788529666336,COMPLETE
117,2.4365515669093543,2024-01-26 03:55:03.268382,2024-01-26 03:56:37.437521,0 days 00:01:34.169139,1294.3481254441003,0.5338895146563538,1090.6427628005383,0.4817316600202672,5.623306447940706,5.597917884697096,0.3727013134168682,0.2745483931335015,COMPLETE
118,2.53620674244397,2024-01-26 03:55:22.243295,2024-01-26 03:56:37.436104,0 days 00:01:15.192809,1277.9371522144352,0.5342513029732838,1094.208722029259,0.4503695464232888,5.6475542649408865,4.724289221281043,0.36030762055452614,0.60786039868916,COMPLETE
119,2.4290325364046823,2024-01-26 03:55:36.636234,2024-01-26 03:56:07.193907,0 days 00:00:30.557673,1291.1068967891813,0.534994948618009,1084.263708110103,0.44933448824380673,5.666429382986046,5.41898450949563,0.12725558637867432,0.21709085852259924,COMPLETE
120,6.026349223334423,2024-01-26 03:56:22.241708,2024-01-26 03:57:06.166825,0 days 00:00:43.925117,1293.706002369756,0.5184696518372107,925.4627333258052,0.45009305244722647,5.663535611839367,5.426643417024934,0.4787392470021722,0.21174548592585907,COMPLETE
121,2.6547220038330903,2024-01-26 03:56:37.439237,2024-01-26 03:57:22.398269,0 days 00:00:44.959032,1285.922503466517,0.5460586169635958,1097.6724588152617,0.45178764863254534,5.649464960638226,5.365478802740398,0.1173068651440568,0.21791409209646873,COMPLETE
122,2.6571224270459095,2024-01-26 03:56:37.443327,2024-01-26 03:57:36.683993,0 days 00:00:59.240666,1299.970531005331,0.5461407288731817,1098.8059369454727,0.47899800218895855,5.653651478002726,4.801658458665538,0.06398481527056012,0.2166822239360181,COMPLETE
123,2.8656931847802656,2024-01-26 03:57:07.694512,2024-01-26 03:58:07.801864,0 days 00:01:00.107352,1287.0168077356604,0.5455502552024992,1096.8479654301957,0.4803981691079858,5.647640303294793,4.717009161260232,0.11661179517920836,0.2769252810068428,COMPLETE
